,image,nationality,id_recipe,rating,calories,total fat,sugar,sodium,protein,saturated fat,carbohydrates,minutes,original_name,ingredients,recipe
0,https://c0qzv5k3rl-flywheel.netdna-ssl.com/wp-content/uploads/2019/02/Fesenjan-Recipe-113.jpg,Iranian,91809,-1.0,432.9,62.0,27.0,48.0,15.0,21.0,5.0,75,Fesenjan,"['Olive oil', 'Onions', 'Garlic cloves', 'Cinnamon', 'Nutmeg', 'Walnuts', 'Pomegranate syrup', 'Stock', 'Sugar', 'Salt', 'Pepper', 'Saffron', 'Limes, juice of', 'Poultry']","['Olive oil', 'Onions', 'Garlic cloves', 'Cinnamon', 'Nutmeg', 'Walnuts', 'Pomegranate syrup', 'Stock', 'Sugar', 'Salt', 'Pepper', 'Saffron', 'Limes, juice of', 'Poultry']"
1,https://www.196flavors.com/wp-content/uploads/2017/03/khoresh-bademjan-2.jpg,Iranian,263437,5.0,352.2,18.0,110.0,20.0,43.0,24.0,14.0,90,Bademjan,"['Eggplant', 'Lamb', 'Tomato paste', 'Lemon', 'Onion', 'Turmeric', 'Sugar']","['Eggplant', 'Lamb', 'Tomato paste', 'Lemon', 'Onion', 'Turmeric', 'Sugar']"
2,https://toriavey.com/images/2012/01/Baghali-Polo-Main.jpg,Iranian,427705,-1.0,484.6,15.0,8.0,2.0,24.0,6.0,28.0,90,Baghali Polo ,"['Basmati rice', 'Frozen lima beans', 'Dill', 'Garlic cloves', 'Yogurt', 'Saffron', 'Spices', 'Canola oil', 'Salt and pepper']","['Basmati rice', 'Frozen lima beans', 'Dill', 'Garlic cloves', 'Yogurt', 'Saffron', 'Spices', 'Canola oil', 'Salt and pepper']"
3,https://i.pinimg.com/originals/ff/b6/35/ffb6350b2612642f4ccd23bc188ed3e9.jpg,Iranian,448277,-1.0,666.5,45.0,62.0,10.0,13.0,91.0,31.0,130,Zereshk Polo,"['Rice', 'Water', 'Dried barberries', 'White sugar', 'Butter', 'Mixed spice', 'Sea salt']","['Rice', 'Water', 'Dried barberries', 'White sugar', 'Butter', 'Mixed spice', 'Sea salt']"
4,http://www.anupskitchen.com/wp-content/uploads/2017/03/sabzi-long.jpg,Iranian,425696,4.0,280.5,12.0,9.0,19.0,64.0,16.0,6.0,105,Gormeh Sabzi,"['Lean lamb', 'Dried limes', 'Garlic cloves', 'Water', 'Cilantro', 'Italian parsley', 'Mint', 'Spinach', 'Mustard greens', 'Kidney beans', 'Ground cinnamon', 'Nutmeg', 'Salt and pepper']","['Lean lamb', 'Dried limes', 'Garlic cloves', 'Water', 'Cilantro', 'Italian parsley', 'Mint', 'Spinach', 'Mustard greens', 'Kidney beans', 'Ground cinnamon', 'Nutmeg', 'Salt and pepper']"
5,https://static01.nyt.com/images/2019/05/15/dining/14Iranianrex2/merlin_154113918_721ff786-e3ef-453f-b3a0-deec1d8f8e02-articleLarge.jpg,Iranian,298125,-1.0,562.9,40.0,15.0,11.0,34.0,28.0,22.0,240,Ash e Reshteh,"['Dried black beans', 'Dried garbanzo beans', 'Dried lentils', 'Brown basmati rice', 'Dried pinto bean', 'Dried white bean', 'Pearl barley', 'Dried red beans', 'Garlic cloves', 'Fresh ginger', 'Cilantro', 'Parsley', 'Baby spinach leaves', 'Beet leaves', 'Scallions', 'Fresh dill', 'Onions', 'Vegetable oil', 'Chow mein noodles', 'Sour cream']","['Dried black beans', 'Dried garbanzo beans', 'Dried lentils', 'Brown basmati rice', 'Dried pinto bean', 'Dried white bean', 'Pearl barley', 'Dried red beans', 'Garlic cloves', 'Fresh ginger', 'Cilantro', 'Parsley', 'Baby spinach leaves', 'Beet leaves', 'Scallions', 'Fresh dill', 'Onions', 'Vegetable oil', 'Chow mein noodles', 'Sour cream']"
6,http://www.raddishes.net/wp-content/uploads/2016/03/DSC_3439_copy-1024x666.jpg,Iranian,157525,5.0,30.6,0.0,20.0,18.0,1.0,0.0,2.0,20,Jeweled Rice ,"['Quick-cooking brown rice', 'Broth', 'Turmeric', 'Dried apricot', 'Dried cranberries']","['Quick-cooking brown rice', 'Broth', 'Turmeric', 'Dried apricot', 'Dried cranberries']"
7,http://persianmama.com/wp-content/uploads/2015/06/Kabob-Koobideh-4.jpg,Iranian,71886,-1.0,280.2,21.0,123.0,110.0,6.0,9.0,13.0,20,Kebab ,"['Ketchup', 'Oil', 'Salt', 'Fresh parsley', 'Pepper', 'Garlic clove', 'Sugar', 'Soy sauce', 'Prepared mustard', 'Wine vinegar', 'Worcestershire sauce', 'Lemon juice']","['Ketchup', 'Oil', 'Salt', 'Fresh parsley', 'Pepper', 'Garlic clove', 'Sugar', 'Soy sauce', 'Prepared mustard', 'Wine vinegar', 'Worcestershire sauce', 'Lemon juice']"
8,https://i1.wp.com/quitegoodfood.co.nz/wp-content/uploads/2016/02/dolma-4.jpg?fit=750%2C1125&ssl=1,Syrian,183749,-1.0,621.0,48.0,16.0,46.0,95.0,52.0,11.0,70,Dolma ,"['Zucchini', 'Potatoes', 'Ground beef', 'Parsley', 'Rice', 'Onion', 'Egg', 'Salt', 'Black pepper', 'Cinnamon', 'Oil', 'Lamb shank', 'Water', 'Chickpeas', 'Lemon juice']","['Zucchini', 'Potatoes', 'Ground beef', 'Parsley', 'Rice', 'Onion', 'Egg', 'Salt', 'Black pepper', 'Cinnamon', 'Oil', 'Lamb shank', 'Water', 'Chickpeas', 'Lemon juice']"
9,https://i.ytimg.com/vi/DnWNB0CPc6Q/maxresdefault.jpg,Syrian,439341,3.0,140.2,8.0,54.0,3.0,4.0,9.0,7.0,90,Baklava,"['Fresh figs', 'Slivered almonds', 'Ground cinnamon', 'Phyllo dough', 'Butter', 'Warm water', 'Honey', 'Water', 'Sugar', 'Vanilla extract', 'Orange rind']","['Fresh figs', 'Slivered almonds', 'Ground cinnamon', 'Phyllo dough', 'Butter', 'Warm water', 'Honey', 'Water', 'Sugar', 'Vanilla extract', 'Orange rind']"
10,https://cdn.ilclubdellericette.it/wp-content/uploads/2019/04/torta-di-mandorle-basbousa-1024x683.jpg,Syrian,173527,5.0,162.0,5.0,88.0,8.0,4.0,11.0,10.0,48,Basbousa ,"['Sugar', 'Water', 'Lemon, juice of', 'Honey', 'Butter', 'Eggs', 'Vanilla extract', 'Semolina', 'Baking powder', 'Baking soda', 'Whole milk', 'Almond halve', 'Whipped cream']","['Sugar', 'Water', 'Lemon, juice of', 'Honey', 'Butter', 'Eggs', 'Vanilla extract', 'Semolina', 'Baking powder', 'Baking soda', 'Whole milk', 'Almond halve', 'Whipped cream']"
11,https://feelgoodfoodie.net/wp-content/uploads/2017/06/Lebanese-Fattoush-Salad-5-1-500x500.jpg,Syrian,280393,4.0,115.6,12.0,5.0,2.0,3.0,5.0,3.0,25,Fattoush ,"['Cucumber', 'Garlic cloves', 'Of fresh mint', 'Fresh parsley', 'Lime, juice of', 'Dried oregano', 'Salt and pepper', 'Rice vinegar', 'Olive oil', 'Roma tomato', 'Pita bread', 'Garlic salt']","['Cucumber', 'Garlic cloves', 'Of fresh mint', 'Fresh parsley', 'Lime, juice of', 'Dried oregano', 'Salt and pepper', 'Rice vinegar', 'Olive oil', 'Roma tomato', 'Pita bread', 'Garlic salt']"
12,https://assets.epicurious.com/photos/57b33744fd214db6472a3143/2:1/w_1260%2Ch_630/ful-medames.jpg,Syrian,173528,5.0,704.0,24.0,39.0,0.0,89.0,11.0,33.0,60,Ful Medames ,"['Dried fava beans', 'Garlic cloves', 'Lemon juice', 'Olive oil', 'Cumin']","['Dried fava beans', 'Garlic cloves', 'Lemon juice', 'Olive oil', 'Cumin']"
13,https://theviewfromgreatisland.com/wp-content/uploads/2018/01/muhamarra-9228-January-13-2018-4.jpg,Syrian,204332,5.0,586.8,98.0,6.0,0.0,4.0,40.0,1.0,10,Muhammara ,"['Walnuts', 'Onion', 'Pomegranate molasses', 'Roasted red peppers', 'Olive oil', 'Vegetable oil', 'Pita bread']","['Walnuts', 'Onion', 'Pomegranate molasses', 'Roasted red peppers', 'Olive oil', 'Vegetable oil', 'Pita bread']"
14,https://i0.wp.com/ashleyparamore.com/wp-content/uploads/2019/04/IMG_7269.jpg?fit=750%2C500&ssl=1,Eritrea,172780,-1.0,147.5,0.0,0.0,22.0,8.0,0.0,10.0,17,Injera ,"['Self-rising flour', 'Seltzer water']","['Self-rising flour', 'Seltzer water']"
15,https://assets.tastecooking.com/wp-content/uploads/2018/05/TasteBerbereLasagna0031.jpg,Eritrea,33606,5.0,279.2,14.0,12.0,22.0,23.0,11.0,12.0,25,Pasta,"['Tri-color spiral pasta', 'Dill pickles', 'Ripe olives', 'Green onion', 'Chives', 'Sweet pepper', 'Water chestnut', 'Tomatoes', 'Ham', 'Cheese', 'Olive oil', 'Cider vinegar', 'Onion powder', 'Garlic powder', 'Salt and pepper', 'Italian seasoning']","['Tri-color spiral pasta', 'Dill pickles', 'Ripe olives', 'Green onion', 'Chives', 'Sweet pepper', 'Water chestnut', 'Tomatoes', 'Ham', 'Cheese', 'Olive oil', 'Cider vinegar', 'Onion powder', 'Garlic powder', 'Salt and pepper', 'Italian seasoning']"
16,https://static01.nyt.com/images/2017/12/06/dining/06HANUKKAH-REX-SUB/06HANUKKAH-REX-articleLarge.jpg,Eritrea,455567,5.0,642.6,65.0,23.0,43.0,90.0,55.0,4.0,60,Doro Wat ,"['Tomato sauce', 'Paprika', 'Dry red wine', 'Gingerroot', 'Ground red pepper', 'Ground cardamom', 'Ground nutmeg', 'Ground cloves', 'Ground cinnamon', 'Ground allspice', 'Onions', 'Garlic cloves', 'Cooking oil', 'Ground turmeric', 'Salt', 'Broiler-fryer chicken', 'Flat bread']","['Tomato sauce', 'Paprika', 'Dry red wine', 'Gingerroot', 'Ground red pepper', 'Ground cardamom', 'Ground nutmeg', 'Ground cloves', 'Ground cinnamon', 'Ground allspice', 'Onions', 'Garlic cloves', 'Cooking oil', 'Ground turmeric', 'Salt', 'Broiler-fryer chicken', 'Flat bread']"
17,http://blackfoodie.co/wp-content/uploads/2017/09/Poured-Coffee_-2-1050x704.jpg,Eritrea,316669,4.615384615384615,331.2,16.0,7.0,33.0,103.0,13.0,1.0,255,Coffee,"['Pork roast', 'Vegetable oil', 'Soy sauce', 'Coffee', 'Bay leaves', 'Garlic clove', 'Oregano', 'Onions']","['Pork roast', 'Vegetable oil', 'Soy sauce', 'Coffee', 'Bay leaves', 'Garlic clove', 'Oregano', 'Onions']"
18,https://www.curiouscuisiniere.com/wp-content/uploads/2019/04/Brazilian-Feijoada-Black-Bean-Stew.jpg,Brazilian,453299,-1.0,330.6,18.0,15.0,10.0,41.0,20.0,11.0,590,Feijoada,"['Dried black beans', 'Apple-smoked bacon', 'Boneless pork shoulder', 'Salt', 'Pepper', 'Beef short ribs with bones', 'Onions', 'Low-fat chicken broth', 'Garlic cloves', 'Smoked ham hock', 'White vinegar', 'Orange']","['Dried black beans', 'Apple-smoked bacon', 'Boneless pork shoulder', 'Salt', 'Pepper', 'Beef short ribs with bones', 'Onions', 'Low-fat chicken broth', 'Garlic cloves', 'Smoked ham hock', 'White vinegar', 'Orange']"
19,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fcdn-image.foodandwine.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fmedium_2x%2Fpublic%2F1553618584%2FMoqueca-Brazilian-Seafood-Stew-FT-recipe0519.jpg%3Fitok%3DS6mBQHZ5&w=450&c=sc&poi=face&q=85,Brazilian,382112,-1.0,955.2,69.0,308.0,65.0,102.0,131.0,31.0,45,Moqueca,"['Lime, juice of', 'Ground cumin', 'Paprika', 'Garlic cloves', 'Salt', 'Ground black pepper', 'Serrano chili', 'Tilapia fillets', 'Olive oil', 'Onions', 'Bell peppers', 'Diced tomatoes', 'Tomato paste', 'Coconut milk', 'Palm oil', 'Fish sauce', 'Fresh cilantro', 'Hard-boiled eggs']","['Lime, juice of', 'Ground cumin', 'Paprika', 'Garlic cloves', 'Salt', 'Ground black pepper', 'Serrano chili', 'Tilapia fillets', 'Olive oil', 'Onions', 'Bell peppers', 'Diced tomatoes', 'Tomato paste', 'Coconut milk', 'Palm oil', 'Fish sauce', 'Fresh cilantro', 'Hard-boiled eggs']"
20,https://previews.123rf.com/images/luizrocha/luizrocha1708/luizrocha170800181/84115597-grilled-picanha-traditional-brazilian-cut-.jpg,Brazilian,488497,-1.0,124.9,20.0,0.0,884.0,0.0,9.0,0.0,25,Picanha,"['Tri-tip roast', 'Coarse salt', 'Garlic cloves', 'Olive oil']","['Tri-tip roast', 'Coarse salt', 'Garlic cloves', 'Olive oil']"
21,https://static.fanpage.it/wp-content/uploads/sites/21/2017/11/brigadeiro.jpg,Brazilian,343401,-1.0,70.6,3.0,43.0,1.0,3.0,6.0,3.0,60,Brigadeiro,"['Sweetened condensed milk', 'Margarine', 'Cocoa powder', 'Chocolate sprinkles']","['Sweetened condensed milk', 'Margarine', 'Cocoa powder', 'Chocolate sprinkles']"
22,https://www.saborbrasil.it/system/images/imgs/000/000/372/big/farofa_sito.jpg?1512990062,Brazilian,13935,-1.0,58.2,10.0,0.0,1.0,0.0,20.0,0.0,15,Farofa,"['Butter', 'Manioc flour', 'Salt']","['Butter', 'Manioc flour', 'Salt']"
23,https://www.vegrecipesofindia.com/wp-content/uploads/2010/01/masala-dosa-recipe-restaurant-style.jpg,Indian,27028,-1.0,498.6,14.0,22.0,0.0,31.0,6.0,29.0,1710,Masala Dosa,"['Parboiled rice', 'Rice', 'Urad dal', 'Fenugreek seeds', 'Salt', 'Oil', 'Ghee', 'Mustard seeds', 'Gram dal', 'Onions', 'Green chilies', 'Ginger', 'Curry leaves', 'Red chili powder', 'Turmeric powder', 'Potatoes', 'Coriander leaves', 'Lemon', 'Asafoetida powder', 'Dried red chilies', 'Coconut', 'Tamarind pulp']","['Parboiled rice', 'Rice', 'Urad dal', 'Fenugreek seeds', 'Salt', 'Oil', 'Ghee', 'Mustard seeds', 'Gram dal', 'Onions', 'Green chilies', 'Ginger', 'Curry leaves', 'Red chili powder', 'Turmeric powder', 'Potatoes', 'Coriander leaves', 'Lemon', 'Asafoetida powder', 'Dried red chilies', 'Coconut', 'Tamarind pulp']"
24,https://img.taste.com.au/IanMIS-F/w720-h480-cfill-q80/taste/2017/06/lamb-rogan-josh-127388-1.jpg,Indian,157174,5.0,104.2,10.0,16.0,0.0,5.0,20.0,3.0,70,Rogan Josh,"['Beef sirloin tip', 'Yellow onion', 'Diced tomatoes', 'Plain nonfat yogurt', 'Ground coriander', 'Ground cumin', 'Cayenne', 'Ground turmeric', 'Garam masala', 'Garlic cloves', 'Ginger', 'Ghee']","['Beef sirloin tip', 'Yellow onion', 'Diced tomatoes', 'Plain nonfat yogurt', 'Ground coriander', 'Ground cumin', 'Cayenne', 'Ground turmeric', 'Garam masala', 'Garlic cloves', 'Ginger', 'Ghee']"
25,https://www.indianhealthyrecipes.com/wp-content/uploads/2018/04/lassi.jpg,Indian,481431,5.0,1034.7,99.0,57.0,64.0,145.0,121.0,12.0,86,Lassi,"['Ground beef', 'Ground pork', 'Eggs', 'Seasoned bread crumbs', 'Onion', 'Green pepper', 'Worcestershire sauce', 'Pepper', 'Salt', 'Ketchup', 'Brown sugar', 'Dijon mustard']","['Ground beef', 'Ground pork', 'Eggs', 'Seasoned bread crumbs', 'Onion', 'Green pepper', 'Worcestershire sauce', 'Pepper', 'Salt', 'Ketchup', 'Brown sugar', 'Dijon mustard']"
26,https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/chicken-tandori-1526595014.jpg?resize=480:*,Indian,108634,5.0,67.9,5.0,1.0,1.0,15.0,5.0,0.0,40,Tandoori Chicken,"['Chicken breasts', 'Tandoori paste', 'Yogurt', 'Lime, juice of', 'Garlic']","['Chicken breasts', 'Tandoori paste', 'Yogurt', 'Lime, juice of', 'Garlic']"
27,https://www.awesomecuisine.com/wp-content/uploads/2008/02/palak_paneer_recipe.jpg,Indian,357820,5.0,357.3,28.0,58.0,174.0,45.0,48.0,9.0,35,Palak paneer,"['Cottage cheese', 'Baby spinach', 'Butter', 'Cumin seed', 'Onions', 'Green chili peppers', 'Ginger-garlic paste', 'Red chili powder', 'Coriander powder', 'Tomatoes', 'Water', 'Salt', 'Garam masala powder', 'Heavy cream', 'Cilantro']","['Cottage cheese', 'Baby spinach', 'Butter', 'Cumin seed', 'Onions', 'Green chili peppers', 'Ginger-garlic paste', 'Red chili powder', 'Coriander powder', 'Tomatoes', 'Water', 'Salt', 'Garam masala powder', 'Heavy cream', 'Cilantro']"
28,https://www.budgetbytes.com/wp-content/uploads/2010/09/Homemade-Naan-stack-1.jpg,Indian,499504,4.0,6.6,0.0,0.0,36.0,1.0,0.0,0.0,70,Naan,"['Whole wheat flour', 'Salt', 'Quick-rising yeast', 'Vegetable oil', 'Warm water', 'Nigella seeds']","['Whole wheat flour', 'Salt', 'Quick-rising yeast', 'Vegetable oil', 'Warm water', 'Nigella seeds']"
29,https://s23209.pcdn.co/wp-content/uploads/2019/02/Easy-Chicken-Tikka-MasalaIMG_8253.jpg,Indian,366562,5.0,411.6,41.0,31.0,5.0,61.0,88.0,4.0,30,Chicken Tikka Masala,"['Boneless skinless chicken breasts', 'Ground ginger', 'Garlic cloves', 'Ground cumin', 'Ground coriander', 'Cayenne pepper', 'Salt', 'Fresh cracked pepper', 'Fresh cilantro', 'Fresh lime juice', 'Olive oil', 'Onion', 'Red jalapeno chile', 'Coconut milk', 'Fresh lemon juice']","['Boneless skinless chicken breasts', 'Ground ginger', 'Garlic cloves', 'Ground cumin', 'Ground coriander', 'Cayenne pepper', 'Salt', 'Fresh cracked pepper', 'Fresh cilantro', 'Fresh lime juice', 'Olive oil', 'Onion', 'Red jalapeno chile', 'Coconut milk', 'Fresh lemon juice']"
30,https://cdn.apartmenttherapy.info/image/upload/v1556570565/k/Photo/Recipes/2019-05-How-To-Chilaquiles/JoeLingeman_2019-04-22_PHOTO_Kitchn65551_HT_Chilaquiles.jpg,Mexican,199655,5.0,305.2,8.0,6.0,2.0,44.0,6.0,14.0,45,Chilaquiles,"['Cooking spray', 'Onion', 'Garlic cloves', 'Cooked chicken breasts', 'Black beans', 'Reduced-sodium fat-free chicken broth', 'Salsa de chile fresco', 'Corn tortillas', 'Queso blanco']","['Cooking spray', 'Onion', 'Garlic cloves', 'Cooked chicken breasts', 'Black beans', 'Reduced-sodium fat-free chicken broth', 'Salsa de chile fresco', 'Corn tortillas', 'Queso blanco']"
31,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/ChickRedMole.JPG/1200px-ChickRedMole.JPG,Mexican,81185,4.666666666666667,115.9,7.0,21.0,19.0,9.0,3.0,5.0,15,Mole,"['Frozen peas', 'Hass avocado', 'Salt', 'Lemons, juice of', 'Tomatoes', 'Onion', 'Cilantro']","['Frozen peas', 'Hass avocado', 'Salt', 'Lemons, juice of', 'Tomatoes', 'Onion', 'Cilantro']"
32,https://cdn.crownmediadev.com/4c/f1/2be5b57b4ff390602289bef7f79e/home-family-pork-tamales.jpg,Mexican,72065,3.0,344.5,32.0,1.0,18.0,34.0,22.0,7.0,70,Tamales,"['Masa harina flour', 'Chicken broth', 'Corn oil', 'Salt', 'Baking powder', 'Chicken', 'Green tomatillo sauce', 'Corn husk']","['Masa harina flour', 'Chicken broth', 'Corn oil', 'Salt', 'Baking powder', 'Chicken', 'Green tomatillo sauce', 'Corn husk']"
33,https://images.media-allrecipes.com/userphotos/392206.jpg,Mexican,37639,-1.0,955.4,125.0,22.0,12.0,59.0,141.0,9.0,150,Enchiladas Verdes,"['Water', 'Tomatillos', 'Onions', 'Garlic cloves', 'Serrano chilies', 'Fresh cilantro', 'Vegetable oil', 'Salt', 'Whole chicken breasts', 'Onion', 'Corn tortillas', 'Creme fraiche', 'Monterey jack cheese']","['Water', 'Tomatillos', 'Onions', 'Garlic cloves', 'Serrano chilies', 'Fresh cilantro', 'Vegetable oil', 'Salt', 'Whole chicken breasts', 'Onion', 'Corn tortillas', 'Creme fraiche', 'Monterey jack cheese']"
34,https://www.daringgourmet.com/wp-content/uploads/2018/09/Pozole-Rojo-3-square-1.jpg,Mexican,405929,5.0,1320.3,130.0,50.0,32.0,172.0,143.0,17.0,145,Pozole,"['Pork shoulder', 'Hominy', 'Ancho chilies', 'Guajillo chilies', 'Garlic', 'Black pepper', 'Salt', 'Cabbage', 'Radish', 'White onion', 'Fresh cilantro', 'Lime', 'Red chili pepper flakes', 'Oregano']","['Pork shoulder', 'Hominy', 'Ancho chilies', 'Guajillo chilies', 'Garlic', 'Black pepper', 'Salt', 'Cabbage', 'Radish', 'White onion', 'Fresh cilantro', 'Lime', 'Red chili pepper flakes', 'Oregano']"
